match_id,home_team,away_team,home_elo,away_elo,elo_diff,home_form5,away_form5,form_diff,home_avg_goals,away_avg_goals,home_avg_conceded,away_avg_conceded,home_possession_avg,away_possession_avg,home_shots_avg,away_shots_avg,opponent_style_home,opponent_style_away,home_strategy_used,away_strategy_used,home_formation_used,away_formation_used,result,goal_diff
0,Team_9,Team_8,1502,1835,-333,12,14,-2,2.18,1.88,0.77,0.77,41.45,62.21,14.42,15.91,Attacking,Attacking,Low Block,High Press,5-3-2,4-3-3,Away Win,1.41
1,Team_4,Team_18,1708,1743,-35,11,13,-2,0.99,0.92,0.81,1.02,53.12,46.2,10.08,14.57,Defensive,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,-0.03
2,Team_2,Team_1,1875,1589,286,13,14,-1,1.92,1.38,2.17,1.29,61.5,40.3,12.31,6.19,Attacking,Possession,High Press,Low Block,4-3-3,5-3-2,Home Win,0.63
3,Team_8,Team_17,1715,1413,302,1,9,-8,1.2,0.72,1.66,1.25,43.05,56.9,6.48,18.73,Attacking,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,-0.05
4,Team_18,Team_14,1961,1787,174,1,13,-12,1.7,1.76,0.81,2.15,59.38,45.01,18.53,14.37,Attacking,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,-0.45
5,Team_19,Team_9,1670,1855,-185,13,6,7,1.7,2.71,1.94,1.77,53.49,47.38,19.51,14.5,Defensive,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.07
6,Team_14,Team_11,1892,1440,452,12,14,-2,0.88,0.54,1.22,1.17,47.34,47.8,8.78,15.96,Attacking,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,-0.29
7,Team_11,Team_4,1818,1688,130,10,4,6,2.63,2.0,2.06,1.95,51.24,44.71,11.19,15.36,Counter,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,0.68
8,Team_4,Team_12,1498,1946,-448,0,2,-2,0.78,2.14,1.79,1.45,59.27,40.67,13.32,11.99,Attacking,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.67
9,Team_15,Team_18,1953,1860,93,2,14,-12,2.56,1.59,1.46,1.68,43.48,57.56,13.56,8.84,Counter,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,0.88
